veh_id,target_vel_x,target_vel_y,target_acc_x,target_acc_y,ref_heading,yaw_rate
2,0.197604,5.8402,0.12203,1.5612,5.2351,-0.58986
2,0.217897,6.01483,0.114,1.5208,5.1761,-0.89063
2,0.238646,6.18561,0.10509,1.4771,5.087,-1.1695
2,0.258365,6.34904,0.095634,1.4293,4.9701,-1.3963
2,0.275743,6.50268,0.085696,1.376,4.8305,-1.5646
2,0.289265,6.64433,0.075126,1.3167,4.674,-1.694
2,0.297924,6.7729,0.063861,1.2525,4.5046,-1.7935
2,0.302455,6.89001,0.052014,1.1842,4.3252,-1.8646
2,0.303768,6.99853,0.039667,1.1119,4.1388,-1.9116
2,0.302419,7.10036,0.026899,1.0355,3.9476,-1.9395
2,0.298869,7.19675,0.013823,0.9553,3.7537,-1.9508
2,0.293457,7.28886,0.00035935,0.87319,3.5586,-1.9517
2,0.286506,7.37687,-0.013233,0.79162,3.3634,-1.9456
2,0.278518,7.45902,-0.02586,0.71268,3.1689,-1.9267
2,0.270159,7.53209,-0.036714,0.63818,2.9762,-1.8897
2,0.261941,7.59399,-0.044923,0.5697,2.7872,-1.8313
2,0.254063,7.64481,-0.049693,0.50815,2.6041,-1.7484
2,0.246479,7.68499,-0.051291,0.4529,2.4293,-1.6452
2,0.239127,7.71508,-0.050131,0.40258,2.2647,-1.5194
2,0.232044,7.73628,-0.046645,0.35617,2.1128,-1.368
2,0.22525,7.75079,-0.041279,0.3129,1.976,-1.1913
2,0.218616,7.76121,-0.034301,0.27206,1.8569,-0.99943
2,0.21218,7.76884,-0.025987,0.23381,1.7569,-0.80919
2,0.206645,7.7744,-0.016925,0.1991,1.676,-0.63385
2,0.202316,7.77903,-0.0079468,0.16873,1.6126,-0.48215
2,0.19942,7.78373,0.00032927,0.14303,1.5644,-0.35314
2,0.198537,7.7892,0.0078405,0.1226,1.5291,-0.2428
2,0.199874,7.79581,0.014824,0.10944,1.5048,-0.14625
2,0.203506,7.80368,0.021352,0.10497,1.4902,-0.059774
2,0.20913,7.81269,0.027371,0.10814,1.4842,0.019054
2,0.21631,7.82255,0.032896,0.11633,1.4861,0.09202
2,0.224856,7.83299,0.037954,0.12713,1.4953,0.16071
2,0.234532,7.84449,0.042645,0.13955,1.5114,0.22613
2,0.244668,7.85722,0.047401,0.15312,1.534,0.29156
2,0.254265,7.86955,0.053185,0.16689,1.5632,0.36475
2,0.262599,7.88004,0.060793,0.18005,1.5996,0.45266
