veh_id,target_vel_x,target_vel_y,target_acc_x,target_acc_y,ref_heading,yaw_rate
1,-0.816131,10.0309,-0.036772,-0.2134,-4.028,-0.34491
1,-0.821496,10.0044,-0.014698,-0.25501,-4.0625,-0.22656
1,-0.82117,9.97148,0.0073991,-0.29653,-4.0851,-0.10415
1,-0.815846,9.93273,0.030471,-0.33661,-4.0955,0.02802
1,-0.806453,9.88827,0.054256,-0.3763,-4.0927,0.16752
1,-0.793707,9.83866,0.077427,-0.41839,-4.076,0.3048
1,-0.778175,9.78496,0.099663,-0.46482,-4.0455,0.43699
1,-0.760298,9.72826,0.12098,-0.516,-4.0018,0.56407
1,-0.740441,9.66946,0.14095,-0.5715,-3.9454,0.68362
1,-0.71896,9.60896,0.15929,-0.63063,-3.877,0.7945
1,-0.696148,9.54698,0.17506,-0.69313,-3.7976,0.89158
1,-0.672222,9.48375,0.18765,-0.75875,-3.7084,0.97168
1,-0.647388,9.41974,0.19727,-0.82691,-3.6113,1.0359
1,-0.621461,9.35561,0.20423,-0.89741,-3.5077,1.0844
1,-0.595102,9.28908,0.20899,-0.96963,-3.3992,1.1186
1,-0.570677,9.21539,0.21197,-1.0426,-3.2874,1.1405
1,-0.548339,9.13048,0.21352,-1.1156,-3.1733,1.1534
1,-0.527003,9.03171,0.21392,-1.1883,-3.058,1.1598
1,-0.506588,8.9178,0.21335,-1.2607,-2.942,1.1601
1,-0.486251,8.78871,0.21197,-1.3331,-2.826,1.1537
1,-0.466005,8.64464,0.20994,-1.4055,-2.7106,1.1397
1,-0.446202,8.48691,0.20736,-1.4778,-2.5966,1.1185
1,-0.426635,8.31766,0.20434,-1.5503,-2.4848,1.0917
1,-0.40738,8.1379,0.2006,-1.6234,-2.3756,1.0579
1,-0.388464,7.94902,0.19674,-1.695,-2.2698,1.0234
1,-0.369775,7.75344,0.19515,-1.7602,-2.1675,1.0101
1,-0.351142,7.55376,0.19176,-1.7895,-2.0665,0.99534
1,-0.332463,7.35173,0.18968,-1.8108,-1.9669,0.99479
1,-0.313746,7.14798,0.1884,-1.8206,-1.8675,1.005
1,-0.295012,6.94268,0.18654,-1.8168,-1.767,1.0136
1,-0.276262,6.73601,0.18358,-1.7977,-1.6656,1.0138
1,-0.2575,6.5282,0.17987,-1.7639,-1.5642,1.0069
1,-0.238714,6.31921,0.17547,-1.7174,-1.4635,0.99297
1,-0.220265,6.10875,0.17063,-1.6589,-1.3642,0.97672
1,-0.20162,5.89909,0.16557,-1.5892,-1.2666,0.96235
1,-0.180377,5.69507,0.15623,-1.4914,-1.1703,0.91737
1,-0.164817,5.55146,0.15465,-1.4648,-1.0786,0.48018
